stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,alias,stop_area,stop_desc,lest_x,lest_y,zone_name
29086,8400910-1,Tallinna,58.37771504,25.59626874,29086,,Viljandi linn,,6471915.03,593381.99,ViljandiLinn
29087,8400972-1,Turg,58.36776661,25.59246866,29087,,Viljandi linn,,6470802.02,593186.03,ViljandiLinn
29088,8400971-1,Turg,58.36756236,25.59298844,29088,,Viljandi linn,,6470780.00,593216.98,ViljandiLinn
29089,8400603-1,Paala järv,58.36922008,25.58675759,29089,,Viljandi linn,,6470955.94,592848.07,ViljandiLinn
29090,8400602-1,Paala järv,58.36941894,25.58666193,29090,,Viljandi linn,,6470977.95,592841.95,ViljandiLinn
29091,8401040-1,Valuoja pst,58.37312384,25.58850374,29091,,Viljandi linn,,6471393.03,592939.93,ViljandiLinn
29092,8401039-1,Valuoja pst,58.37391307,25.5885053,29092,,Viljandi linn,,6471480.91,592937.94,ViljandiLinn
29093,8400205-1,Kauge,58.37631098,25.58416834,29093,,Viljandi linn,,6471741.91,592677.94,ViljandiLinn
29094,8400204-1,Kauge,58.37633856,25.58565783,29094,,Viljandi linn,,6471747.04,592764.99,ViljandiLinn
29095,8400891-1,Suur-Kaare,58.37498572,25.57884308,29095,,Viljandi linn,,6471587.00,592369.93,ViljandiLinn
29096,6701123-1,Vainu,58.42022982,24.66216436,29096,,Sauga vald,,6475730.06,538693.01,PärnuMVLL
29097,6701122-1,Vainu,58.4202357,24.66276225,29097,,Sauga vald,,6475731.06,538727.94,PärnuMVLL
29100,6700357-1,Kurmi,58.19128862,24.77141571,29100,,Surju vald,,6450301.00,545370.00,
29101,6701065-1,Tõitse,58.61132987,23.9270951,29101,,Koonga vald,,6496826.03,495762.93,
29102,5100282-1,Mustla,59.05440131,25.42821998,29102,,Paide vald,,6547047.89,581947.98,tartu2
29103,6701038-1,Tootsi tee,58.65306383,24.84635018,29103,,Vändra vald,,6501782.05,549128.04,
29104,6700769-1,Raki,58.52176478,24.68714902,29104,,Are vald,,6487053.02,540037.07,
29105,7800784-1,Rootsiküla,58.60911401,27.16882519,29105,,Alatskivi vald,,6500926.50,684108.25,
29112,4400895-1,Väike-Pungerja,59.17413881,27.35004198,29112,,Mäetaguse vald,,6564296.05,691486.47,
29113,7800190-1,Kalda,58.36512183,26.90508005,29113,,Luunja vald,,6473082.50,669971.31,
29114,4400894-1,Väike-Pungerja,59.17444542,27.35038474,29114,,Mäetaguse vald,,6564331.14,691504.34,
29115,7000294-1,Lipstu tee,59.00370423,24.64283367,29115,,Rapla vald,,6540705.28,536940.66,
29116,4400118-1,Estonia kaevandus,59.18595069,27.34706745,29116,,Mäetaguse vald,,6565601.71,691250.96,
29117,5100480-1,Saueaugu,58.98064024,25.35141222,29117,,Väätsa vald,,6538742.00,577707.06,"tartu1,tartu2"
29119,4400119-1,Estonia kaevandus,59.18618939,27.34744712,29119,,Mäetaguse vald,,6565629.35,691271.31,
